,train_result,test_list
604,237050,241207
605,219944,225313
606,225256,228815
607,214200,216351
608,208124,209830
609,208439,212037
610,215664,219185
611,225282,227779
612,215382,220632
613,213410,218349
614,223854,230518
615,217443,221450
616,219255,219535
617,226008,227471
618,219806,223497
619,216188,219494
620,213771,214084
621,216726,217774
622,221464,225439
623,238449,244154
624,245681,250192
625,243082,248347
626,247352,251531
627,249302,250596
628,245027,248553
629,243097,248519
630,246030,249893
631,244152,246819
632,245705,251407
633,244479,248927
634,246077,250915
635,241385,246161
636,243218,247522
637,241532,247623
638,243749,249880
639,234868,238568
640,242029,247132
641,242909,248309
642,216017,219891
643,217829,220590
644,219985,222271
645,217609,222248
646,215979,217949
647,222526,228450
648,209650,212852
649,224814,229721
650,216194,221905
651,211545,216340
652,213189,212068
653,212468,216322
654,211812,215225
655,206854,209617
656,215051,217387
657,204633,207391
658,219067,219874
659,212978,216139
660,207836,207550
661,209546,209431
662,206684,209166
663,213269,219413
664,214077,214885
665,215415,216351
666,210608,215251
667,207660,208846
668,213607,216118
669,217900,221687
670,209817,212692
671,215789,223758
672,217561,222865
673,220304,224993
674,219038,220939
675,221301,224858
676,221007,225012
677,229079,232662
678,216989,218586
679,214787,214930
680,216664,220136
681,215405,220886
682,220023,223251
683,221614,230637
684,225485,228844
685,213900,213468
686,209222,213779
687,216504,221910
688,217682,219820
689,212999,215722
690,216789,222089
691,218036,221549
692,215468,218075
693,209325,211215
694,214828,215536
695,213836,216995
696,224019,227928
697,212927,220743
698,216786,219801
699,220619,222325
700,216282,222342
701,224358,227469
702,228578,232903
703,215460,221996
704,206565,210736
705,215283,218306
706,206871,210763
707,208132,212575
708,213220,215452
709,216672,217929
710,210113,210400
711,212772,216009
712,208282,209819
713,209119,211670
714,207701,212163
715,208256,211610
716,205061,210487
717,211125,213437
718,200859,198430
719,205224,213303
720,208809,211132
721,210977,212828
722,212253,215425
723,201370,206112
724,209694,210094
725,206719,207012
726,204487,204224
727,207973,205771
728,200318,199615
729,208335,208315
730,203135,206075
731,206109,208889
732,208966,208645
733,202794,206709
734,207715,211081
735,199689,200910
736,205086,205082
737,209419,209083
738,217143,215008
739,205117,207237
740,207641,209538
741,208066,210229
742,212117,210545
743,209591,207552
744,210288,210164
745,210300,220423
746,217086,215666
747,217699,220156
748,212151,214048
749,212403,211974
750,213085,213594
751,207553,210510
752,207337,208262
753,205911,210335
754,206680,211261
755,211712,212684
756,214572,215311
757,218461,224104
758,219754,219030
759,202008,205324
760,206513,205898
761,209787,210146
762,204427,204230
763,206435,211340
764,208210,207176
765,216247,216360
766,216064,219260
767,213610,215235
768,206548,208856
769,206088,206100
770,207702,209388
771,208130,208374
772,207654,208307
773,210451,210939
774,204864,205586
775,210273,212960
776,214757,218926
777,218823,220051
778,215863,218004
779,216324,214447
780,214816,216662
781,215284,215695
782,212125,216230
783,215958,220937
784,218077,221519
785,221688,230228
786,217693,218144
787,225464,228338
788,223124,228239
789,216425,224514
790,226798,229913
791,211903,208854
792,211427,218637
793,224395,229470
794,219913,222817
795,217680,219569
796,217652,225868
797,215965,217852
798,215371,219208
799,220412,221793
800,219373,222329
801,215056,218391
802,230754,234725
803,234083,236813
804,228655,232018
805,222987,226250
806,217803,221250
807,212963,215723
808,227192,227646
809,230263,234112
810,220817,225076
811,229717,231653
812,226424,228757
813,230734,234174
814,225015,232986
815,223153,227012
816,213894,218154
817,218158,220416
818,218028,219453
819,217543,224729
820,211602,216680
821,210799,214125
822,219384,222966
823,207764,212296
824,208000,211733
825,203102,205363
826,210781,214089
827,217642,218816
828,210293,216603
829,204392,206605
830,208009,208384
831,200585,203639
832,206754,207051
833,202042,202526
834,198768,201995
835,217097,219011
836,217097,221707
837,208466,209293
838,210455,213304
839,208407,215614
840,209400,209619
841,208132,215029
842,205207,206432
843,201500,207942
844,207160,208889
845,203274,204851
846,204667,203452
847,203080,204142
848,199993,202103
849,207091,210348
850,204447,208607
851,200860,200600
852,203486,205570
853,205785,207515
854,202562,203991
855,209563,212985
856,202312,206076
857,206656,208709
858,208915,207510
859,203509,205420
860,203696,204273
861,201675,206212
862,212674,214885
863,202863,203197
864,208520,211713
865,209767,210597
866,216005,218327
867,208031,210332
868,213244,216452
869,221285,220363
870,218086,220275
871,211356,214282
872,216104,221058
873,206513,214713
874,211665,214054
875,213880,215791
876,218954,220436
877,218124,218629
878,219797,220510
879,220332,224564
880,221474,223077
881,219719,224527
882,215556,216800
883,210513,211322
884,217124,220710
885,209328,210188
886,205262,206811
887,199217,198921
888,197917,199739
889,206015,208824
