start,stop,time
2019-06-24 08:28:17,2019-06-24 09:45:52,0 days 01:17:35.000000000
2019-06-24 09:55:58,2019-06-24 12:19:25,0 days 02:23:27.000000000
2019-06-24 12:59:46,2019-06-24 14:36:12,0 days 01:36:26.000000000
2019-06-24 14:46:13,2019-06-24 15:00:11,0 days 00:13:58.000000000
2019-06-24 15:11:21,2019-06-24 16:51:59,0 days 01:40:38.000000000
2019-06-24 20:34:27,2019-06-24 21:03:05,0 days 00:28:38.000000000
2019-06-24 21:13:13,2019-06-25 05:20:14,0 days 08:07:01.000000000
2019-06-25 05:30:15,2019-06-25 07:48:29,0 days 02:18:14.000000000
2019-06-25 08:31:06,2019-06-25 10:11:00,0 days 01:39:54.000000000
2019-06-25 10:21:07,2019-06-25 12:19:36,0 days 01:58:29.000000000
2019-06-25 12:58:12,2019-06-25 14:58:49,0 days 02:00:37.000000000
2019-06-25 15:11:10,2019-06-25 16:56:00,0 days 01:44:50.000000000
2019-06-25 20:32:27,2019-06-26 00:28:17,0 days 03:55:50.000000000
2019-06-26 00:38:18,2019-06-26 04:01:03,0 days 03:22:45.000000000
2019-06-26 04:13:10,2019-06-26 05:04:58,0 days 00:51:48.000000000
2019-06-26 05:15:13,2019-06-26 06:11:50,0 days 00:56:37.000000000
2019-06-26 06:32:32,2019-06-26 07:45:41,0 days 01:13:09.000000000
2019-06-26 08:29:12,2019-06-26 09:35:36,0 days 01:06:24.000000000
2019-06-26 09:46:10,2019-06-26 12:20:44,0 days 02:34:34.000000000
2019-06-26 12:57:47,2019-06-26 14:59:10,0 days 02:01:23.000000000
2019-06-26 15:20:43,2019-06-26 15:50:38,0 days 00:29:55.000000000
2019-06-26 16:07:37,2019-06-26 16:35:41,0 days 00:28:04.000000000
2019-06-26 20:30:38,2019-06-26 21:23:32,0 days 00:52:54.000000000
2019-06-26 21:35:14,2019-06-26 23:59:31,0 days 02:24:17.000000000
2019-06-27 00:29:26,2019-06-27 02:19:22,0 days 01:49:56.000000000
